City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,chernomorskoye,45.5039,32.6997,15.62,61,0,2.44,UA,1698627018
203,whakatane,-37.9585,176.9854,15.49,96,100,2.24,NZ,1698626894
204,purpe,64.4803,76.6897,-12.73,91,9,1.83,RU,1698627019
205,labrador city,52.9463,-66.9114,-3.05,68,75,4.63,CA,1698626751
206,imbituba,-28.24,-48.6703,23.83,83,100,1.24,BR,1698627019
207,ubari,26.5921,12.7805,22.06,24,0,3.41,LY,1698627019
208,atafu village,-8.5421,-172.5159,29.09,71,96,5.58,TK,1698627019
209,hithadhoo,-0.6,73.0833,27.13,80,21,7.56,MV,1698627020
210,frontera,26.9333,-101.45,26.86,65,75,5.14,MX,1698627020
211,bilibino,68.0546,166.4372,-19.65,89,12,1.76,RU,1698627020
212,lebu,-37.6167,-73.65,7.95,63,25,2.6,CL,1698627020
213,sao tome,0.3365,6.7273,24.02,94,75,0.0,ST,1698627020
214,luanda,-8.8368,13.2343,25.0,88,75,2.57,AO,1698627020
215,nadym,65.5333,72.5167,-13.03,90,13,1.51,RU,1698627021
216,hamilton,39.1834,-84.5333,13.88,96,100,2.57,US,1698626835
217,verkhniy ufaley,56.0567,60.2306,-3.47,96,100,3.21,RU,1698627021
218,villa gesell,-37.2639,-56.973,15.59,58,100,7.01,AR,1698627021
219,tulun,54.5611,100.5792,-8.7,73,7,1.28,RU,1698627022
220,port blair,11.6667,92.75,25.02,100,20,0.51,IN,1698627022
221,tobelo,1.7284,128.0095,29.66,62,14,0.84,ID,1698627022
222,nizhnevartovsk,60.9344,76.5531,-7.99,62,100,2.0,RU,1698627022
223,saint-francois,46.4154,3.9054,12.03,100,100,2.06,FR,1698627022
224,pacific grove,36.6177,-121.9166,22.97,66,0,2.06,US,1698626834
225,shell cove,-34.5975,150.8633,29.47,45,77,3.13,AU,1698627022
226,gjovik,60.7947,10.6929,-4.47,68,0,1.26,NO,1698627023
227,nouadhibou,20.931,-17.0347,20.99,88,0,5.66,MR,1698626751
228,mao,39.8885,4.2658,19.31,94,20,3.09,ES,1698627023
229,kone,-21.0595,164.8658,26.13,41,0,4.18,NC,1698627023
230,pyhajarvi,67.0701,27.2176,-10.43,99,99,0.58,FI,1698627023
231,port alfred,-33.5906,26.891,14.93,63,94,7.62,ZA,1698627023
232,georgetown,5.4112,100.3354,25.96,93,20,2.68,MY,1698626980
233,mafra,-26.1114,-49.8053,19.63,97,100,0.85,BR,1698627024
234,mweka,-4.85,21.5667,23.07,82,98,0.37,CD,1698627024
235,acarau,-2.8856,-40.12,26.48,79,83,6.45,BR,1698626944
236,rouyn-noranda,48.2398,-79.0288,-0.95,100,100,1.03,CA,1698626980
237,marsa alam,25.0757,34.8918,25.28,81,0,0.71,EG,1698627024
238,churapcha,62.0025,132.4325,-9.41,89,100,2.59,RU,1698627025
239,galveston,29.3669,-94.9669,27.05,86,75,2.06,US,1698626894
240,corner brook,48.9667,-57.9484,4.09,50,95,7.59,CA,1698626968
241,cape coast,5.1053,-1.2466,26.13,86,4,1.94,GH,1698626832
242,sechenovo,55.2244,45.8906,-1.13,94,100,6.97,RU,1698627025
243,coracora,-15.0333,-73.7833,9.75,59,23,1.25,PE,1698627025
244,czarnkow,52.9021,16.5641,13.55,79,100,6.78,PL,1698626498
245,flin flon,54.7682,-101.865,-2.92,81,100,3.79,CA,1698627026
246,aksu,41.1231,80.2644,10.82,38,87,1.16,CN,1698627026
247,idrinskoye,54.3708,92.1358,-2.25,48,0,0.77,RU,1698627026
248,leh,34.1667,77.5833,0.79,36,94,1.14,IN,1698627026
